"ID","Naam","Type","Plaats","Adres","Website","PlaceID","Lat","Lng","Rating","Reviews"
"1064","Stichting Kinderboerderij ""'t Weidje""","onderweg","Wormer","Spatterstraat 105A, Wormer","True","True","52,494612","4,805158","True","True"
"1065","Stichting Kinderboerderij ""Beatrixhoeve""","onderweg","Zwartemeer","De Blokken 14, Zwartemeer","True","True","52,719849","7,037124","True","True"
"1066","Stichting Kinderboerderij ""De Vijverhof""","onderweg","Olst","Vijverhof 4a, Olst","True","True","52,334545","6,104016","True","True"
"1067","Stichting Kinderboerderij â€œErve 't Wooldrikâ€","onderweg","Enschede","Lorentzlaan 22, Enschede","True","True","52,216427","6,914926","True","True"
"1068","Stichting Kinderboerderij Breda Noord (Parkhoeve)","onderweg","Breda","via Kasterleestraat, Tussen de Dijken 101, Breda","True","True","51,613932","4,791936","True","True"
"1069","Stichting Kinderboerderij Buitengewoon","onderweg","Velp","Beukenlaan 8, Velp","True","True","51,746077","5,709836","True","True"
"1070","Stichting Kinderboerderij De Rekerhout","onderweg","Alkmaar","Krielenzand 5, Alkmaar","True","True","52,649104","4,756474","True","True"
"1071","Stichting Kinderboerderij Dommelen","onderweg","Valkenswaard","Hovenierwei 18A, Valkenswaard","False","True","51,360634","5,428415","True","True"
"1072","Stichting Kinderboerderij Enschede-Noord","onderweg","Enschede","Vanekerbeekweg 15, Enschede","True","True","52,242641","6,888787","True","True"
"1073","Stichting Kinderboerderij Gennep","onderweg","Gennep","Sneeuwheide 21, Gennep","True","True","51,683664","5,980824","True","True"
"1074","Stichting kinderboerderij pekela","onderweg","Oude Pekela","Hugo de Grootstraat 79, Oude Pekela","True","True","53,10357","6,993258","True","True"
"1075","Stichting Kinderboerderij Schutterspark","onderweg","Brunssum","Heidestraat 2, Brunssum","True","True","50,943691","5,98799","True","True"
"1076","Stichting Kinderboerderij St. Odilienberg","onderweg","Sint OdiliÃ«nberg","Bosserveldweg 54, Sint OdiliÃ«nberg","True","True","51,139589","5,996234","True","True"
"1077","stichting Natuur- en Milieu Educatie (Kinderboerderij) Hoogezand-Sappemeer","onderweg","Hoogezand","Burgemeester van Royenstraat West 11 a, Hoogezand","True","True","53,155376","6,727907","True","True"
"1078","Stichting Speeltuin de Paddestoel","onderweg","Born","Florianstraat 3a, Born","True","True","51,036087","5,807622","True","True"
"1079","Stichting Vriendenfonds Kinderboerderij Kienehoeve","onderweg","Sint-Oedenrode","Klothal 1, Sint-Oedenrode","True","True","51,573765","5,450975","True","True"
"1080","Strandspeeltuin","onderweg","Nooitgedacht","Nooitgedacht","True","True","52,965773","6,674602","True","True"
"1081","Winkel en slijterij van Landgoed de Bonte Belevenis","onderweg","Den Hoorn Texel","Rommelpot 11, Den Hoorn Texel","True","True","53,030962","4,738996","True","True"
"1082","Zomo speelboerderij Houten","onderweg","Houten","Keercamp 15, Houten","True","True","52,031468","5,14452","True","True"
"1083","Zorg en kinderboerderij De Veldmuis / pannenkoeken","onderweg","Eemdijk","Eemdijk 17, Eemdijk","True","True","52,261857","5,337751","True","True"
"1084","Zorg- en speelboerderij de Hosvazze","onderweg","Lewedorp","Oude Zandweg 15, Lewedorp","True","True","51,485689","3,77593","True","True"
"1085","â€™t Boerenwinkeltje","winkel","Wanroij","Verlorenhoek 1A, Wanroij","False","False","51,66407896","5,81705158","False","False"
"1086","Aardbeienkwekerij van den Bighelaar Uden","winkel","Uden","Lage Randweg 14, Uden","False","False","51,63628645","5,61920327","False","False"
"1087","Aspergeboerderij Ter Stege","winkel","Sint-Michielsgestel","Venstraat 4B, Sint-Michielsgestel","False","False","51,65740628","5,33608156","False","False"
"1088","Aspergeboerderij Van Iersel","winkel","Helvoirt","Duinoordseweg 26, Helvoirt","False","False","51,65922777","5,21337363","False","False"
